FATAL  | wrapper  | 2016/11/29 13:17:36 | OpenSCManager failed - Access is denied. (0x5)
FATAL  | wrapper  | 2016/11/29 13:26:44 | OpenSCManager failed - Access is denied. (0x5)
STATUS | wrapper  | 2016/11/29 13:27:12 | StringMover installed.
STATUS | wrapper  | 2016/11/29 13:29:03 | StringMover removed.
ERROR  | wrapper  | 2016/11/29 13:30:13 | DeleteService failed - The specified service has been marked for deletion. (0x430)
STATUS | wrapper  | 2016/11/29 13:31:21 | StringMover installed.
STATUS | wrapper  | 2016/11/29 13:32:22 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/11/29 13:32:22 | Launching a JVM...
INFO   | jvm 1    | 2016/11/29 13:32:23 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/11/29 13:32:23 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/11/29 13:32:23 | 
INFO   | jvm 1    | 2016/11/29 13:32:23 | 
INFO   | jvm 1    | 2016/11/29 13:32:23 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2016/11/29 13:32:23 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2016/11/29 13:32:23 |           could not be loaded:
INFO   | jvm 1    | 2016/11/29 13:32:23 |             E:\APGFileIntegration\8_StringMover\.\wrapper.dll
INFO   | jvm 1    | 2016/11/29 13:32:23 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2016/11/29 13:32:23 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2016/11/29 13:32:23 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2016/11/29 13:32:23 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2016/11/29 13:32:23 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2016/11/29 13:32:23 |           Reported cause:
INFO   | jvm 1    | 2016/11/29 13:32:23 |             E:\APGFileIntegration\8_StringMover\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2016/11/29 13:32:23 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2016/11/29 13:32:23 | 
INFO   | jvm 1    | 2016/11/29 13:32:23 | WrapperSimpleApp: Unable to locate the class com.xerox.StringMover.StringMover: java.lang.ClassNotFoundException: com.xerox.StringMover.StringMover
INFO   | jvm 1    | 2016/11/29 13:32:23 | 
INFO   | jvm 1    | 2016/11/29 13:32:23 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/11/29 13:32:23 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_arguments]
INFO   | jvm 1    | 2016/11/29 13:32:23 | 
INFO   | jvm 1    | 2016/11/29 13:32:23 | Where:
INFO   | jvm 1    | 2016/11/29 13:32:23 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2016/11/29 13:32:23 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2016/11/29 13:32:23 |                   application.
STATUS | wrapper  | 2016/11/29 13:32:25 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/11/29 13:34:27 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/11/29 13:34:27 | Launching a JVM...
INFO   | jvm 1    | 2016/11/29 13:34:28 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/11/29 13:34:28 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/11/29 13:34:28 | 
INFO   | jvm 1    | 2016/11/29 13:34:28 | 
